rank,Company Name,Industry,State,City,Metro Area,Growth (%),Revenue ($),Number of Workers,Years on List,URL
3270,Magellan Jets,Travel & Hospitality,Massachusetts,Quincy,Boston,104.6794,14493000,13,2,magellan-jets
3271,JamPlay.com,Education,Ohio,Beavercreek,Dayton OH,104.6343,4116060,13,3,jamplaycom
3341,Integrated Database Systems,Health,Michigan,Mount Pleasant,Mount Pleasant MI,100.6022,1991715,13,1,integrated-database-systems
3419,Cloud 9 Living,Consumer Products & Services,Colorado,Boulder,Boulder CO,97.5272,6266090,13,5,cloud-9-living
3603,Floor & Wall,Construction,Illinois,Roselle,Chicago,90.0551,8404039,13,1,floor-wall
3628,Rebel Industries,Advertising & Marketing,California,Los Angeles,Los Angeles,88.8889,4250000,13,1,rebel-industries
3769,Avondale Strategic Partners,Financial Services,Illinois,Chicago,Chicago,83.331,4194438,13,4,avondale-strategic-partners
3798,Prognos,Business Products & Services,Illinois,Oak Park,Chicago,82.102,5291654,13,1,prognos
3845,The T1 Company,Telecommunications,Ohio,Cleveland,Cleveland,80.2255,3600171,13,2,the-t1-company
3890,Green Peak Partners,Business Products & Services,Colorado,Denver,Denver,79.1408,6654525,13,1,green-peak-partners
4002,Intelligent Interiors,Business Products & Services,Texas,Addison,Dallas,74.7075,11846860,13,5,intelligent-interiors
4076,Imagination Technologies/FRS,Human Resources,North Carolina,Monroe,Charlotte,72.3996,4077381,13,5,imagination-technologiesfrs
4127,ProCPR,Education,Michigan,Grand Rapids,Grand Rapids-Wyoming MI,70.4806,3564175,13,2,procpr
4154,Registration Express Group,Business Products & Services,California,Redding,Redding CA,69.63,2683553,13,1,registration-express-group
4207,Caring Senior Service,Health,Texas,San Antonio,San Antonio TX,67.8534,24598342,13,3,caring-senior-service
4336,ITAD Solutions,IT Services,California,South San Francisco,San Francisco,63.5014,2708809,13,1,itad-solutions
4339,LLBH Private Wealth Management,Financial Services,Connecticut,Westport,Bridgeport-Stamford-Norwalk CT,63.4171,7777237,13,1,llbh-private-wealth-management
4437,Cannonball Wine Company,Food & Beverage,California,Healdsburg,Santa Rosa-Petaluma CA,60.0258,5522847,13,1,cannonball-wine-company
4470,NextStep Networking,IT Services,Ohio,Cincinnati,Cincinnati,58.9046,2479978,13,1,nextstep-networking
4555,Scorpion Coatings,Manufacturing,Indiana,Cloverdale,Bloomington IN,56.1187,4726494,13,2,scorpion-coatings
4610,SocialRadius,Advertising & Marketing,Nevada,Las Vegas,Las Vegas-Paradise NV,54.6262,2089000,13,2,socialradius
4749,Artime Group,Advertising & Marketing,California,Pasadena,Los Angeles,50.3134,2744597,13,2,artime-group
4786,Chicago Oakbrook Financial Group,Financial Services,Illinois,Oak Brook,Chicago,49.0684,3307032,13,4,chicago-oakbrook-financial-group
4885,AllConnex,Telecommunications,Massachusetts,North Attleborough,Providence-New Bedford-Fall River RI-MA,46.2735,3707756,13,6,allconnex
4903,Teknicks,Advertising & Marketing,New Jersey,Bay Head,New York City,45.6663,2481243,13,4,teknicks
4948,BakeryEquipment.com,Food & Beverage,Washington,Gig Harbor,Seattle,44.1173,3913149,13,2,bakeryequipmentcom
4953,Optimum Employer Solutions,Human Resources,California,Newport Beach,Los Angeles,43.961,6805427,13,4,optimum-employer-solutions
90,Pendo Management Group,Real Estate,Missouri,Lee's Summit,Kansas City MO-KS,3877.8706,8471671,14,1,pendo-management-group
118,Intelligent Audit,Logistics & Transportation,New Jersey,Rochelle Park,,3122.0588,318842114,14,2,intelligent-audit
129,Bob's Watches,Retail,California,Westminster,Los Angeles,2861.191,11101120,14,1,bobs-watches
148,Total Technology Solutions Group,Business Products & Services,Illinois,St. Charles,Chicago,2608.0908,3115496,14,1,total-technology-solutions-group
155,ReSell,Business Products & Services,Florida,Maitland,Orlando FL,2545.6932,4728621,14,1,resell
228,Strategi Consulting,IT Services,Maryland,Chevy Chase,Washington DC,1994.359,3475505,14,1,strategi-consulting
282,MES,Logistics & Transportation,Ohio,Lewis Center,Columbus OH,1620.9718,20354071,14,3,mes
312,LDR Interactive,Software,Ohio,Rocky River,Cleveland,1485.7884,3364599,14,1,ldr-interactive
462,Prosper Insurance Group,Insurance,Virginia,Virginia Beach,Virginia Beach-Norfolk-Newport News VA-NC,1024.8304,2857553,14,1,prosper-insurance-group
497,Petroleum Kings,Energy,New York,New Rochelle,New York City,961.9433,2623000,14,1,petroleum-kings
506,treetree,Advertising & Marketing,Ohio,Columbus,Columbus OH,934.304,2361047,14,1,treetree
550,iSend,Financial Services,Connecticut,Middlebury,New Haven-Milford CT,871.3151,158603220,14,2,isend
562,McKee Homes,Construction,North Carolina,Fayetteville,Fayetteville NC,855.5038,18532024,14,1,mckee-homes
609,Little Passports,Consumer Products & Services,California,San Francisco,San Francisco,779.7741,2351909,14,1,little-passports
646,Boost Software,Software,Massachusetts,Boston,Boston,711.0722,11566441,14,1,boost-software
786,Guardian Network Solutions,Security,Texas,Fort Worth,Dallas,579.5961,2518760,14,1,guardian-network-solutions
813,REPAY,Financial Services,Georgia,Atlanta,Atlanta,559.6937,22089508,14,4,repay
818,3BL Media,Media,Massachusetts,Northampton,Springfield MA,554.5255,2000590,14,1,3bl-media
861,Sandlapper Securities,Financial Services,South Carolina,Greenville,Greenville-Mauldin-Easley SC,524.4268,5973448,14,2,sandlapper-securities
970,Billiards.com,Retail,Oregon,Portland,Portland OR,464.198,8027815,14,1,billiardscom
1134,Elasticity,Advertising & Marketing,Missouri,St. Louis,St. Louis MO-IL,388.1356,2016000,14,1,elasticity
1215,Mobelux,Software,Virginia,Richmond,Richmond VA,359.6005,2216175,14,1,mobelux
1279,FBS,Business Products & Services,Texas,Plano,Dallas,337.9166,2102004,14,2,fbs
1316,Alcance Media Group,Advertising & Marketing,California,San Francisco,San Francisco,327.1237,3821365,14,1,alcance-media-group
1344,Trinity Logistics USA,Logistics & Transportation,New York,Valley Stream,New York City,321.0433,16051867,14,1,trinity-logistics-usa
1434,Strategic Wealth Partners,Financial Services,Ohio,Independence,Cleveland,297.4242,2623000,14,1,strategic-wealth-partners
1437,Taylor Group Insurance,Insurance,Illinois,Chicago,,296.9042,2685065,14,1,taylor-group-insurance
1509,Stimulant,Software,California,San Francisco,San Francisco,283.602,4749925,14,3,stimulant
1552,Custom Media Environments,Business Products & Services,New York,Hicksville,New York City,274.0866,3964158,14,1,custom-media-environments
1642,Appleton Learning,Education,Alabama,Huntsville,Huntsville AL,258.3444,6475677,14,3,appleton-learning
1726,DirecLogix,IT Services,Florida,Fort Lauderdale,Miami,242.614,4777077,14,2,direclogix
1852,Hoffman Instrumentation Supply,Manufacturing,Oregon,Hillsboro,Portland OR,221.6316,6980000,14,1,hoffman-instrumentation-supply
1982,Tabbara,Environmental Services,California,Camarillo,Oxnard-Thousand Oaks-Ventura CA,205.5254,2003400,14,1,tabbara
2022,Southern Lighting Source,Construction,Georgia,Norcross,Atlanta,200.1763,12943000,14,1,southern-lighting-source
2053,Gotham Cigars,Retail,Florida,Miami,Miami,196.0796,5235102,14,6,gotham-cigars
2170,SWG,Computer Hardware,Pennsylvania,Olyphant,Scranton--Wilkes-Barre PA,182.9767,4479587,14,1,swg
2262,Atlas Professional Services,IT Services,Florida,Tampa,Tampa,173.0621,2554881,14,1,atlas-professional-services
2328,Systema Software,Insurance,California,Larkspur,San Francisco,166.7333,3546142,14,3,systema-software
2465,Hawaiian Moon,Consumer Products & Services,Florida,Clearwater,Tampa,155.0094,6367895,14,1,hawaiian-moon
2475,Alpine Technical Services,Business Products & Services,Utah,Midvale,Salt Lake City,154.386,4170361,14,1,alpine-technical-services
2496,Lenny & Larry's,Food & Beverage,California,Northridge,Los Angeles,152.3459,7027511,14,3,lenny-larrys
2708,Heritage Wealth Advisor,Financial Services,Washington,Mercer Island,Seattle,138.1613,3552505,14,3,heritage-wealth-advisor
2720,Abound Resources,Financial Services,Texas,Austin,Austin,137.7166,3408264,14,2,abound-resources
2736,Sequent Learning Networks,Business Products & Services,New York,New York,New York City,136.4683,3107877,14,1,sequent-learning-networks
2763,Elegante Custom Stone Boutique by Zicana,Retail,New York,Westbury,New York City,134.5765,3008359,14,1,elegante-custom-stone-boutique-by-zicana
2867,ShipOffers,Health,Colorado,Centennial,Denver,128.1804,4112064,14,1,shipoffers
3043,Stellar Development,Construction,Florida,Sarasota,Sarasota-Bradenton-Venice FL,117.0077,9990593,14,4,stellar-development
3197,JMX International,Retail,Florida,Sarasota,Sarasota-Bradenton-Venice FL,109.1407,3836526,14,2,jmx-international
3231,Context Travel,Travel & Hospitality,Pennsylvania,Philadelphia,Philadelphia,107.285,4487922,14,4,context-travel
3286,MD Connect,Advertising & Marketing,Massachusetts,Wellesley,Boston,103.7641,3302104,14,2,md-connect
3386,Proforma Marketing Agency,Advertising & Marketing,California,Danville,San Francisco,98.948,6808000,14,5,proforma-marketing-agency
3435,Golden Link,Business Products & Services,New York,Washingtonville,Poughkeepsie-Newburgh-Middletown NY,96.9822,15779948,14,1,golden-link
3543,Technology Finance Partners,Financial Services,California,San Bruno,San Francisco,92.3727,5440707,14,2,technology-finance-partners
3597,Flexible Assembly Systems,Manufacturing,California,San Diego,San Diego,90.208,6585000,14,2,flexible-assembly-systems
3639,Messinas,Manufacturing,New Jersey,Washington,New York City,88.5418,6269335,14,3,messinas
3666,Stevens Construction,Construction,Florida,Fort Myers,Cape Coral-Fort Myers FL,87.5358,21655118,14,2,stevens-construction
3679,No-IP,IT Services,Nevada,Reno,Reno-Sparks NV,87.2881,3536000,14,1,no-ip
3750,Fish Consulting,Advertising & Marketing,Florida,Hollywood,Miami,84.219,2288000,14,1,fish-consulting
3780,IQ Office Products,Consumer Products & Services,Arizona,Phoenix,Phoenix,82.8674,5102000,14,3,iq-office-products
3873,Frankel Media Group,Advertising & Marketing,Florida,Newberry,Gainesville FL,79.4501,2051482,14,1,frankel-media-group
3941,RSDCGroup,IT Services,Virginia,Arlington,Washington DC,76.8274,3064419,14,2,rsdcgroup
4097,Mint Advertising,Advertising & Marketing,New Jersey,Clinton,New York City,71.4727,3133270,14,1,mint-advertising
4188,The Basement,Media,Indiana,Indianapolis,Indianapolis IN,68.5738,2033000,14,1,the-basement
4319,IdeaStream Consumer Products,Consumer Products & Services,Ohio,Cleveland,Cleveland,64.3547,27268446,14,3,ideastream-consumer-products
4380,Sweet Financial Services,Financial Services,Minnesota,Fairmont,Fairmont MN,62.2684,2360553,14,1,sweet-financial-services
4475,Royce Leather,Consumer Products & Services,New Jersey,Secaucus,New York City,58.7786,4130000,14,2,royce-leather
4493,SignTalk,Business Products & Services,New York,Brooklyn,New York City,57.7908,6471000,14,3,signtalk
4570,Integrated Systems Management,IT Services,New York,Tarrytown,New York City,55.7859,5035000,14,2,integrated-systems-management
4657,Creative Consultants Group,IT Services,South Carolina,Conway,Myrtle Beach-Conway-North Myrtle Beach SC,53.2126,2065959,14,1,creative-consultants-group
4797,Afterburner,Human Resources,Georgia,Atlanta,Atlanta,48.8225,5294010,14,4,afterburner
4826,The Garabedian Group,Business Products & Services,California,Fresno,Fresno CA,47.9154,2098091,14,2,the-garabedian-group
4893,Lexington Wealth Management,Financial Services,Massachusetts,Lexington,Boston,45.9902,4138744,14,4,lexington-wealth-management
4920,Brown Heating and Cooling,Construction,Alabama,Hueytown,Birmingham-Hoover AL,44.8442,2116077,14,1,brown-heating-and-cooling
113,Fortress Gold Group,Financial Services,California,Sherman Oaks,Los Angeles,3257.9707,9809304,15,1,fortress-gold-group
161,RocketDrop,Business Products & Services,New Hampshire,Salem,Boston,2518.6981,72626345,15,1,rocketdrop
187,NITS Solutions,IT Services,Michigan,Novi,Detroit,2291.3176,2775411,15,1,nits-solutions
193,VPCinnovations,Computer Hardware,Wisconsin,Mount Pleasant,Chicago,2234.3619,5390952,15,1,vpcinnovations
213,McAfee Institute,Education,Illinois,Peoria,Peoria IL,2097.07,39571912,15,2,mcafee-institute
263,EPI Engineering,Engineering,Texas,Houston,Houston,1750.9113,2005777,15,1,epi-engineering
265,Cinium Financial Services,Financial Services,Florida,Miami,Miami,1742.3365,4442684,15,3,cinium-financial-services
274,RPM Freight Systems,Logistics & Transportation,Michigan,Royal Oak,Detroit,1683.3663,4647952,15,1,rpm-freight-systems
306,StartFinder,Human Resources,Maryland,Rockville,Washington DC,1509.4059,3251000,15,2,startfinder
315,MoTek Technologies,IT Services,California,Valencia,Los Angeles,1475.4762,2185028,15,1,motek-technologies
320,Parts Life,Government Services,New Jersey,Cinnaminson,Philadelphia,1449.5801,5513406,15,1,parts-life
332,TitanLED,Manufacturing,California,Simi Valley,Oxnard-Thousand Oaks-Ventura CA,1402.2982,7866379,15,1,titanled
381,WebyShops,Retail,Texas,Arlington,Dallas,1255.2007,10713458,15,1,webyshops
388,ToCharge,Financial Services,Virginia,Virginia Beach,Virginia Beach-Norfolk-Newport News VA-NC,1209.0625,2177272,15,1,tocharge
400,DG3 Media Group,Advertising & Marketing,Florida,Longwood,Orlando FL,1176.6722,2309500,15,1,dg3-media-group
460,Content Marketing Institute,Media,Ohio,Cleveland,Cleveland,1034.427,4420170,15,3,content-marketing-institute
461,Tillman Companies,Construction,Tennessee,Knoxville,Knoxville TN,1032.7395,5224308,15,2,tillman-companies
620,EyeMD EMR Healthcare Systems,IT Services,Florida,Bonita Springs,Naples-Marco Island FL,753.9595,2384383,15,1,eyemd-emr-healthcare-systems
704,Orchestra Software,Software,Oregon,Beaverton,Portland OR,642.7348,2389712,15,1,orchestra-software
758,CarePatrol Franchise Systems,Health,Arizona,Gilbert,Phoenix,602.7368,2400830,15,1,carepatrol-franchise-systems
834,Bannockburn Global Forex,Financial Services,Ohio,Cincinnati,Cincinnati,544.899,4224785,15,1,bannockburn-global-forex
872,ShoeCenter.com,Retail,New Jersey,Dunellen,New York City,516.1029,4189500,15,1,shoecentercom
925,Vector Media Group,Advertising & Marketing,New York,New York,New York City,487.0744,2930153,15,2,vector-media-group
984,Motivate Design,Business Products & Services,New York,New York,New York City,455.2561,2060000,15,1,motivate-design
1097,Suzanne Evans Coaching of SC,Business Products & Services,South Carolina,Murrells Inlet,Georgetown SC,405.2069,6068075,15,3,suzanne-evans-coaching-of-sc
1124,Ads Direct Media,Advertising & Marketing,Florida,Palm Beach Gardens,Miami,392.785,46382270,15,2,ads-direct-media
1196,US Freight,Logistics & Transportation,Ohio,Rocky River,Cleveland,366.6355,12568794,15,1,us-freight
1216,Winterbridge Media,Advertising & Marketing,New York,White Plains,New York City,359.3667,9695241,15,1,winterbridge-media
1290,HyGen Pharmaceuticals,Health,Washington,Redmond,Seattle,334.5432,7723397,15,4,hygen-pharmaceuticals
1348,Makeup Geek,Retail,Michigan,Jackson,Jackson MI,319.2474,2496832,15,1,makeup-geek
1387,Crunchy Logistics,IT Services,Florida,Orlando,Orlando FL,309.0551,2516225,15,3,crunchy-logistics
1409,eSchoolView,Education,Ohio,Columbus,Columbus OH,304.2143,2254000,15,1,eschoolview
1420,Summerset Professional Grills,Consumer Products & Services,California,Costa Mesa,Los Angeles,300.2394,9086935,15,3,summerset-professional-grills
1471,KELL Partners,Business Products & Services,Texas,Austin,Austin,290.3608,2735820,15,1,kell-partners
1480,Ticketracker,Software,Indiana,Anderson,Anderson IN,289.5068,4531117,15,3,ticketracker
1483,1st Equity Title & Closing Services,Real Estate,New York,Syosset,New York City,288.9314,3255445,15,2,1st-equity-title-closing-services
1675,HireAHelper,Logistics & Transportation,California,Oceanside,San Diego,251.4756,7923830,15,2,hireahelper
1819,CSI Specialty Group,Business Products & Services,Florida,Sanford,Orlando FL,227.0138,2218151,15,1,csi-specialty-group
1833,JBK Associates International,Human Resources,New Jersey,Englewood Cliffs,New York City,224.2454,3850054,15,3,jbk-associates-international
1844,PITSS America,Software,Michigan,Troy,Detroit,222.6422,2740103,15,2,pitss-america
1914,iPower Technologies,IT Services,Florida,Boca Raton,Miami,213.1555,2302463,15,1,ipower-technologies
2043,Wildcat Development,Engineering,Texas,Spring,Houston,197.9647,2494668,15,1,wildcat-development
2214,Spectrum Gaming Group,Business Products & Services,New Jersey,Linwood,Atlantic City NJ,177.7641,13379083,15,3,spectrum-gaming-group
2233,Dawson & Dawson Staffing,Human Resources,California,Mission Viejo,Los Angeles,174.7911,3301121,15,2,dawson-dawson-staffing
2356,Tuscany Pavers,Construction,California,Escondido,San Diego,164.6682,4041917,15,3,tuscany-pavers
2403,GXA Network Solutions,IT Services,Texas,Richardson,Dallas,160.3928,2247656,15,1,gxa-network-solutions
2418,Prive Jets,Travel & Hospitality,Florida,Hallandale,Miami,158.932,18959000,15,4,prive-jets
2419,PipelineDeals,Software,Pennsylvania,Wayne,Seattle,158.8991,2561131,15,1,pipelinedeals
2448,SpiderBoost Interactive Agency,Advertising & Marketing,Florida,Miami,Miami,156.5383,2408792,15,1,spiderboost-interactive-agency
2483,Peepers Reading Glasses,Retail,Indiana,Michigan City,Michigan City-La Porte IN,153.4871,3977197,15,2,peepers-reading-glasses
2489,Application Experts,Software,Colorado,Broomfield,Denver,152.6499,2100185,15,1,application-experts
2505,WorkCompEDI,Business Products & Services,New York,Holbrook,New York City,151.3183,3908000,15,2,workcompedi
2526,CallingMart,Telecommunications,Florida,Miami,Miami,149.5896,23716000,15,4,callingmart
2538,One2One,IT Services,Pennsylvania,Lancaster,Lancaster PA,148.4211,2969966,15,1,one2one
2579,RTA Cabinet Store,Retail,Pennsylvania,Conshohocken,Philadelphia,145.6616,6636404,15,3,rta-cabinet-store
2591,Your Castle Real Estate,Real Estate,Colorado,Centennial,Denver,144.6985,17660006,15,1,your-castle-real-estate
2647,Mi-Corporation,Software,North Carolina,Durham,Durham NC,141.6968,2085060,15,1,mi-corporation
2719,Newcastle Construction,Construction,Alabama,Bessemer,Birmingham-Hoover AL,137.7555,25697073,15,5,newcastle-construction
2726,Advanced Technology Systems,Business Products & Services,Minnesota,St. Paul,Minneapolis,137.3891,11628973,15,2,advanced-technology-systems
2822,Historical Emporium,Retail,California,San Jose,San Jose,130.67,7137342,15,5,historical-emporium
2825,Taggart International,Logistics & Transportation,Missouri,Liberty,Kansas City MO-KS,130.4701,6210572,15,1,taggart-international
2885,WorthPoint,Consumer Products & Services,Georgia,Atlanta,Atlanta,126.8905,4213441,15,3,worthpoint
2996,ExamSoft Worldwide,Education,Texas,Dallas,Dallas,119.5372,9659139,15,1,examsoft-worldwide
2998,Z Brand Group,Advertising & Marketing,Pennsylvania,Pittsburgh,Pittsburgh PA,119.291,3067705,15,2,z-brand-group
3086,Nutricity,Health,Massachusetts,Walpole,Boston,114.956,9646283,15,4,nutricity
3149,NextLevel Practice,Health,Arizona,Scottsdale,Phoenix,111.6307,4603555,15,2,nextlevel-practice
3156,Proforma Promotionally Yours,Advertising & Marketing,Kansas,Kansas City,Kansas City MO-KS,111.1437,4320000,15,4,proforma-promotionally-yours
3164,Sullivan Commercial Supply,Business Products & Services,Indiana,Indianapolis,Indianapolis IN,110.7715,7782118,15,1,sullivan-commercial-supply
3281,Kurgo,Consumer Products & Services,Massachusetts,Salisbury,Boston,104.0101,7463565,15,5,kurgo
3296,MindFire Communications,Advertising & Marketing,Iowa,Le Claire,Davenport-Moline-Rock Island IA-IL,102.9075,3026554,15,2,mindfire-communications
3390,858 Graphics,Manufacturing,California,San Diego,San Diego,98.9131,2092532,15,1,858-graphics
3418,Krueger Communications,Telecommunications,Wisconsin,Elm Grove,Milwaukee-Waukesha-West Allis WI,97.5444,3043737,15,1,krueger-communications
3461,RDS Solutions,Telecommunications,New Jersey,Clinton,New York City,95.8066,3969000,15,3,rds-solutions
3498,Sixto Packaging,Manufacturing,Florida,Miami,Miami,94.4539,5070388,15,1,sixto-packaging
3558,Tradition Homes,Real Estate,Virginia,McLean,Washington DC,91.9123,14496893,15,1,tradition-homes
3648,Mankin Media Systems,Media,Tennessee,Franklin,Nashville,88.2451,6035517,15,6,mankin-media-systems
3723,Express Companies,Business Products & Services,California,Encinitas,San Diego,85.1283,5762726,15,3,express-companies
3792,Keystone Compliance,Engineering,Pennsylvania,New Castle,New Castle PA,82.3939,2059931,15,2,keystone-compliance
4000,P-Fleet,Financial Services,California,San Diego,San Diego,74.7988,116385114,15,2,p-fleet
4010,ODUrent.com,Real Estate,Virginia,Norfolk,Virginia Beach-Norfolk-Newport News VA-NC,74.4377,3180000,15,2,odurentcom
4046,The Doyle Group,IT Services,Colorado,Denver,Denver,73.3254,4143223,15,1,the-doyle-group
4163,Spectra Management,Insurance,Utah,Draper,Salt Lake City,69.3431,2192445,15,1,spectra-management
4270,Alliance Adjustment Group,Insurance,Pennsylvania,Doylestown,Philadelphia,65.6882,4312343,15,1,alliance-adjustment-group
4293,CSG Creative,Advertising & Marketing,Virginia,Alexandria,Washington DC,64.914,3433361,15,2,csg-creative
4331,PlanetOne Communications,Telecommunications,Arizona,Scottsdale,Phoenix,63.6513,13984000,15,4,planetone-communications
4337,Blough Tech,IT Services,Georgia,Cairo,Bainbridge GA,63.4662,2009000,15,1,blough-tech
4385,APTech Group,Manufacturing,Ohio,Cincinnati,Cincinnati,61.992,4863000,15,4,aptech-group
4399,CB Transportation,Logistics & Transportation,Pennsylvania,Chester Springs,Philadelphia,61.3718,16756799,15,4,cb-transportation
4485,Faith Direct,Financial Services,Virginia,Alexandria,Washington DC,58.091,2587344,15,2,faith-direct
4492,Metal Roofs of Texas,Construction,Texas,Fort Worth,Dallas,57.7954,5769000,15,1,metal-roofs-of-texas
4525,Inmod,Retail,New Jersey,Fairfield,New York City,57.0127,6970314,15,3,inmod
4543,Artisan Logistics,Logistics & Transportation,South Carolina,Columbia,Columbia SC,56.43,9561000,15,1,artisan-logistics
4544,Pride Products Distributors,Advertising & Marketing,New Jersey,Springfield,New York City,56.4295,2121580,15,2,pride-products-distributors
4605,Architec Housewares,Consumer Products & Services,Florida,Delray Beach,Miami,54.7098,9296949,15,3,architec-housewares
4637,Southridge Technology Grp,Business Products & Services,Connecticut,Brookfield,Bridgeport-Stamford-Norwalk CT,53.6622,2912590,15,4,southridge-technology-grp
4671,SIG,Business Products & Services,Florida,Jacksonville,Jacksonville FL,52.6636,3209025,15,2,sig
4839,Supreme Resources,Manufacturing,Georgia,Suwanee,Atlanta,47.6586,31877077,15,3,supreme-resources
4968,DurAmerica Brokerage,Insurance,New York,Long Island City,New York City,43.5675,3325597,15,3,duramerica-brokerage
78,Old Pro Roofing,Construction,Texas,Burleson,Dallas,4076.4206,4897229,16,1,old-pro-roofing
179,InkSoft,Software,New Mexico,Albuquerque,Albuquerque NM,2347.731,2488706,16,1,inksoft
216,Newmind Group,IT Services,Michigan,Kalamazoo,Kalamazoo-Portage MI,2065.3678,15469496,16,1,newmind-group
237,Levitate Media,Media,California,San Francisco,San Francisco,1923.3738,2094293,16,1,levitate-media
247,GreenRope,Software,California,Cardiff,San Diego,1858.9052,2129330,16,1,greenrope
262,Optimatic Media,Advertising & Marketing,New York,New York,New York City,1753.3284,34313968,16,2,optimatic-media
340,Morning Star Financial Services,Financial Services,Minnesota,Golden Valley,Minneapolis,1372.7764,21962366,16,2,morning-star-financial-services
344,Think Tech Labs,Software,Texas,Dallas,Dallas,1361.4004,2442000,16,1,think-tech-labs
375,Invision Security Group,Security,Pennsylvania,Plymouth Meeting,Philadelphia,1269.0071,3874290,16,1,invision-security-group
515,Co-construct,Software,Virginia,Crozet,Charlottesville VA,912.4393,2101986,16,1,co-construct
541,Social Media Link,Advertising & Marketing,New York,New York,New York City,885.3652,4220122,16,1,social-media-link
655,Neya Systems,Engineering,Pennsylvania,Wexford,Pittsburgh PA,702.9335,3063400,16,1,neya-systems
687,TigerFitness.com,Retail,Ohio,Mason,Cincinnati,659.0239,5646371,16,3,tigerfitnesscom
939,Media Vision USA,Business Products & Services,California,Oakland,San Francisco,480.1241,10044622,16,2,media-vision-usa
952,GINIA,Government Services,Virginia,Alexandria,Washington DC,473.9823,3243000,16,1,ginia
994,Grass Roots Meetings & Events,Business Products & Services,New York,New York,New York City,452.5294,4149496,16,1,grass-roots-meetings-events
1067,Ypulse,Business Products & Services,New York,New York,New York City,418.1019,2953150,16,1,ypulse
1172,Dupray,Consumer Products & Services,Delaware,Newark,Philadelphia,372.9326,3861646,16,1,dupray
1177,Hourglass Angel,Retail,Illinois,Cicero,Chicago,371.9785,4656261,16,2,hourglass-angel
1311,Pedego Electric Bikes,Consumer Products & Services,California,Irvine,Los Angeles,329.1955,5467255,16,1,pedego-electric-bikes
1357,Inside Connect Cable,Telecommunications,Kentucky,Louisville,Louisville/Jefferson KY-IN,317.545,2271662,16,1,inside-connect-cable
1395,Dfuse Technologies,IT Services,Virginia,Ashburn,Washington DC,307.2468,4546809,16,1,dfuse-technologies
1543,Network Services Solutions,Telecommunications,Nevada,Reno,Reno-Sparks NV,276.168,13555497,16,1,network-services-solutions
1625,R2 Unified Technologies,IT Services,Florida,Boca Raton,Miami,262.0019,9020690,16,3,r2-unified-technologies
1656,Switchback Group,Manufacturing,Ohio,Richfield,Akron OH,255.3611,5194181,16,2,switchback-group
1694,Merchandize Liquidators,Business Products & Services,Florida,Miami Gardens,Miami,248.1884,7613815,16,4,merchandize-liquidators
1872,Tech-Flo Consulting,Energy,Texas,Conroe,Houston,218.9476,5682747,16,2,tech-flo-consulting
1926,Fundraising For A Cause,Retail,Florida,Tampa,Tampa,211.8277,2213871,16,1,fundraising-for-a-cause
1979,inStream,Advertising & Marketing,Massachusetts,Wellesley,Boston,205.7174,10757221,16,1,instream
2008,Slate Rock Safety,Retail,Ohio,Medina,Cleveland,202.4585,4710249,16,3,slate-rock-safety
2279,Tevet,Manufacturing,Tennessee,Mosheim,Newport TN,170.7633,82091605,16,2,tevet
2590,CFO Systems,Financial Services,Nebraska,Omaha,Omaha-Council Bluffs NE-IA,145.0218,1995009,16,1,cfo-systems
2645,Tenon Tours,Travel & Hospitality,Massachusetts,Wakefield,Boston,141.7344,2843038,16,3,tenon-tours
2733,Construction Coordinators,Construction,Massachusetts,Needham,Boston,136.7299,7992000,16,3,construction-coordinators
2734,Myriad Tech Solutions,IT Services,New York,New York,New York City,136.6954,2276300,16,1,myriad-tech-solutions
2773,Davenport Group,IT Services,Minnesota,St. Paul,Minneapolis,133.6983,8980334,16,2,davenport-group
2811,Mavenspire,IT Services,Maryland,Annapolis,Baltimore,131.4431,5697439,16,1,mavenspire
2999,Liberty Technology,IT Services,Georgia,Griffin,Atlanta,119.2476,2904816,16,2,liberty-technology
3010,Strativity Group,Business Products & Services,New Jersey,Hackensack,New York City,118.5089,5891000,16,2,strativity-group
3025,Tasc Performance,Consumer Products & Services,Louisiana,Metairie,New Orleans-Metairie-Kenner LA,117.9151,5441775,16,1,tasc-performance
3073,Crane USA,Manufacturing,Illinois,Bensenville,Chicago,115.346,26556367,16,1,crane-usa
3135,Akrometrix,Manufacturing,Georgia,Atlanta,Atlanta,112.6568,6748611,16,2,akrometrix
3166,Development Group,IT Services,California,Redding,Redding CA,110.7632,9528054,16,1,development-group
3202,The Evanston Group,Human Resources,Illinois,Evanston,Chicago,108.7739,19059000,16,3,the-evanston-group
3421,XML Financial Group,Financial Services,Maryland,Rockville,Washington DC,97.4816,3764000,16,4,xml-financial-group
3463,CQ Fluency,Business Products & Services,New Jersey,Hackensack,New York City,95.8042,4661593,16,1,cq-fluency
3613,Workplace Solutions,Business Products & Services,Virginia,Virginia Beach,Virginia Beach-Norfolk-Newport News VA-NC,89.5163,2552154,16,2,workplace-solutions
3619,Educere,Education,Pennsylvania,Ambler,Philadelphia,89.2443,3736214,16,4,educere
3696,U.S. Translation Company,Business Products & Services,Utah,Salt Lake City,Salt Lake City,86.3195,4057548,16,4,us-translation-company
3740,Advantage Communications Group,Telecommunications,New York,Roslyn Heights,New York City,84.5473,6384084,16,3,advantage-communications-group
